ADVERTISER,BRAND_ROOT,Brand (Major),Brand (Minor),Brand (Leaf),PUBLISHER,DATE,CHANNEL,Top-Level Category,PLACEMENT,Spend (USD),IMPRESSIONS
Blue Diamond Growers,Blue Diamond Growers,Blue Diamond Growers,Blue Diamond Growers,Blue Diamond Growers,YouTube,2025-09-01,YouTube,Consumer Packaged Goods,In-Stream,10944.15,496847
"Links Snacks, Inc.",Jack Link's,Jack Link's,Jack Link's,Jack Link's,YouTube,2025-09-01,YouTube,Consumer Packaged Goods,In-Stream,739.82,44782
"good culture, LLC","good culture, LLC","good culture, LLC","good culture, LLC","good culture, LLC",YouTube,2025-09-01,YouTube,Food & Dining Services,Feed,6161.69,4174943
"good culture, LLC","good culture, LLC","good culture, LLC","good culture, LLC","good culture, LLC",YouTube,2025-09-01,YouTube,Food & Dining Services,In-Stream,241.04,21885
Siete Family Foods,Siete Family Foods,Siete Family Foods,Siete Family Foods,Siete Family Foods,YouTube,2025-09-01,YouTube,Consumer Packaged Goods,Feed,159.56,108114
Siete Family Foods,Siete Family Foods,Siete Family Foods,Siete Family Foods,Siete Family Foods,YouTube,2025-09-01,YouTube,Consumer Packaged Goods,In-Stream,2144.18,973420
We Are The Chompians LLC (Chomps),We Are The Chompians LLC (Chomps),We Are The Chompians LLC (Chomps),We Are The Chompians LLC (Chomps),We Are The Chompians LLC (Chomps),YouTube,2025-09-01,YouTube,Consumer Packaged Goods,In-Stream,8028.16,558583
"Chobani, Inc.",Chobani,Chobani,Chobani,Chobani,target.com,2025-09-01,Desktop Display,Consumer Packaged Goods,Other,71.66,24143
"Mars, Incorporated",Mars Food,Kind Snacks,Kind Snacks,Kind Snacks,Hulu,2025-09-01,OTT,Consumer Packaged Goods,In-Stream,20144.72,623945
We Are The Chompians LLC (Chomps),We Are The Chompians LLC (Chomps),We Are The Chompians LLC (Chomps),We Are The Chompians LLC (Chomps),We Are The Chompians LLC (Chomps),Hulu,2025-09-01,OTT,Consumer Packaged Goods,In-Stream,651833.89,20189306
We Are The Chompians LLC (Chomps),We Are The Chompians LLC (Chomps),We Are The Chompians LLC (Chomps),We Are The Chompians LLC (Chomps),We Are The Chompians LLC (Chomps),screenrant.com,2025-09-01,Desktop Video,Consumer Packaged Goods,Other,540.76,117698
We Are The Chompians LLC (Chomps),We Are The Chompians LLC (Chomps),We Are The Chompians LLC (Chomps),We Are The Chompians LLC (Chomps),We Are The Chompians LLC (Chomps),collider.com,2025-09-01,Desktop Video,Consumer Packaged Goods,Other,387.21,26043
"Mars, Incorporated",Mars Food,Kind Snacks,Kind Snacks,Kind Snacks,Instagram,2025-09-01,Instagram,Consumer Packaged Goods,Reels,777.58,94568
"Mars, Incorporated",Mars Food,Kind Snacks,Kind Snacks,Kind Snacks,Instagram,2025-09-01,Instagram,Consumer Packaged Goods,Stories,223.98,27240
Blue Diamond Growers,Blue Diamond Growers,Blue Diamond Growers,Blue Diamond Growers,Blue Diamond Growers,Instagram,2025-09-01,Instagram,Consumer Packaged Goods,Feed,9729.84,1183333
Blue Diamond Growers,Blue Diamond Growers,Blue Diamond Growers,Blue Diamond Growers,Blue Diamond Growers,Instagram,2025-09-01,Instagram,Consumer Packaged Goods,Stories,5555.49,675657
Blue Diamond Growers,Blue Diamond Growers,Blue Diamond Growers,Blue Diamond Growers,Blue Diamond Growers,Instagram,2025-09-01,Instagram,Consumer Packaged Goods,Reels,35065.14,4264614
"Links Snacks, Inc.",Jack Link's,Jack Link's,Jack Link's,Jack Link's,Instagram,2025-09-01,Instagram,Consumer Packaged Goods,Stories,2837.26,345067
"Links Snacks, Inc.",Jack Link's,Jack Link's,Jack Link's,Jack Link's,Instagram,2025-09-01,Instagram,Consumer Packaged Goods,Feed,10087.53,1226839
"Links Snacks, Inc.",Jack Link's,Jack Link's,Jack Link's,Jack Link's,Instagram,2025-09-01,Instagram,Consumer Packaged Goods,Reels,70544.97,8579645
"good culture, LLC","good culture, LLC","good culture, LLC","good culture, LLC","good culture, LLC",Instagram,2025-09-01,Instagram,Food & Dining Services,Stories,753.94,91693
Siete Family Foods,Siete Family Foods,Siete Family Foods,Siete Family Foods,Siete Family Foods,Instagram,2025-09-01,Instagram,Consumer Packaged Goods,Feed,8295.43,1008885
Siete Family Foods,Siete Family Foods,Siete Family Foods,Siete Family Foods,Siete Family Foods,Instagram,2025-09-01,Instagram,Consumer Packaged Goods,Reels,2644.70,321649
Siete Family Foods,Siete Family Foods,Siete Family Foods,Siete Family Foods,Siete Family Foods,Instagram,2025-09-01,Instagram,Consumer Packaged Goods,Stories,23304.75,2834302
We Are The Chompians LLC (Chomps),We Are The Chompians LLC (Chomps),We Are The Chompians LLC (Chomps),We Are The Chompians LLC (Chomps),We Are The Chompians LLC (Chomps),Instagram,2025-09-01,Instagram,Consumer Packaged Goods,Stories,49602.00,6032580
We Are The Chompians LLC (Chomps),We Are The Chompians LLC (Chomps),We Are The Chompians LLC (Chomps),We Are The Chompians LLC (Chomps),We Are The Chompians LLC (Chomps),Instagram,2025-09-01,Instagram,Consumer Packaged Goods,Feed,80289.03,9764727
We Are The Chompians LLC (Chomps),We Are The Chompians LLC (Chomps),We Are The Chompians LLC (Chomps),We Are The Chompians LLC (Chomps),We Are The Chompians LLC (Chomps),Instagram,2025-09-01,Instagram,Consumer Packaged Goods,Reels,250617.35,30480008
We Are The Chompians LLC (Chomps),We Are The Chompians LLC (Chomps),We Are The Chompians LLC (Chomps),We Are The Chompians LLC (Chomps),We Are The Chompians LLC (Chomps),autoevolution.com,2025-09-01,Desktop Video,Consumer Packaged Goods,Other,1906.88,385576
We Are The Chompians LLC (Chomps),We Are The Chompians LLC (Chomps),We Are The Chompians LLC (Chomps),We Are The Chompians LLC (Chomps),We Are The Chompians LLC (Chomps),gamersheroes.com,2025-09-01,Desktop Video,Consumer Packaged Goods,Other,25.60,2452
We Are The Chompians LLC (Chomps),We Are The Chompians LLC (Chomps),We Are The Chompians LLC (Chomps),We Are The Chompians LLC (Chomps),We Are The Chompians LLC (Chomps),gamerant.com,2025-09-01,Desktop Video,Consumer Packaged Goods,Other,9.29,1878
We Are The Chompians LLC (Chomps),We Are The Chompians LLC (Chomps),We Are The Chompians LLC (Chomps),We Are The Chompians LLC (Chomps),We Are The Chompians LLC (Chomps),Tubi,2025-09-01,OTT,Consumer Packaged Goods,In-Stream,218837.98,8633532
"Links Snacks, Inc.",Jack Link's,Jack Link's,Jack Link's,Jack Link's,dallascowboys.com,2025-09-01,Mobile Display,Consumer Packaged Goods,Other,194.64,23513
Blue Diamond Growers,Blue Diamond Growers,Blue Diamond Growers,Blue Diamond Growers,Blue Diamond Growers,tvseriesfinale.com,2025-09-01,Mobile Display,Consumer Packaged Goods,Other,9.63,4041
We Are The Chompians LLC (Chomps),We Are The Chompians LLC (Chomps),We Are The Chompians LLC (Chomps),We Are The Chompians LLC (Chomps),We Are The Chompians LLC (Chomps),lowcarbmaven.com,2025-09-01,Desktop Video,Consumer Packaged Goods,Other,2.27,460
"Mars, Incorporated",Mars Food,Kind Snacks,Kind Snacks,Kind Snacks,Peacock,2025-09-01,OTT,Consumer Packaged Goods,In-Stream,5392.46,125099
We Are The Chompians LLC (Chomps),We Are The Chompians LLC (Chomps),We Are The Chompians LLC (Chomps),We Are The Chompians LLC (Chomps),We Are The Chompians LLC (Chomps),TikTok,2025-09-01,TikTok,Consumer Packaged Goods,Feed,1015.49,90248
"Mars, Incorporated",Mars Food,Kind Snacks,Kind Snacks,Kind Snacks,Paramount+,2025-09-01,OTT,Consumer Packaged Goods,In-Stream,1084.63,43503
We Are The Chompians LLC (Chomps),We Are The Chompians LLC (Chomps),We Are The Chompians LLC (Chomps),We Are The Chompians LLC (Chomps),We Are The Chompians LLC (Chomps),Paramount+,2025-09-01,OTT,Consumer Packaged Goods,In-Stream,95814.53,3843047
We Are The Chompians LLC (Chomps),We Are The Chompians LLC (Chomps),We Are The Chompians LLC (Chomps),We Are The Chompians LLC (Chomps),We Are The Chompians LLC (Chomps),minimalistbaker.com,2025-09-01,Desktop Video,Consumer Packaged Goods,Other,589.03,119104
"Mars, Incorporated",Mars Food,Kind Snacks,Kind Snacks,Kind Snacks,Max,2025-09-01,OTT,Consumer Packaged Goods,In-Stream,2608.78,68878
We Are The Chompians LLC (Chomps),We Are The Chompians LLC (Chomps),We Are The Chompians LLC (Chomps),We Are The Chompians LLC (Chomps),We Are The Chompians LLC (Chomps),Max,2025-09-01,OTT,Consumer Packaged Goods,In-Stream,4340.03,114588
"Mars, Incorporated",Mars Food,Kind Snacks,Kind Snacks,Kind Snacks,OTT Streaming Services (General),2025-09-01,OTT,Consumer Packaged Goods,In-Stream,94342.78,3834647
Blue Diamond Growers,Blue Diamond Growers,Blue Diamond Growers,Blue Diamond Growers,Blue Diamond Growers,OTT Streaming Services (General),2025-09-01,OTT,Consumer Packaged Goods,In-Stream,58853.51,2392158
We Are The Chompians LLC (Chomps),We Are The Chompians LLC (Chomps),We Are The Chompians LLC (Chomps),We Are The Chompians LLC (Chomps),We Are The Chompians LLC (Chomps),OTT Streaming Services (General),2025-09-01,OTT,Consumer Packaged Goods,In-Stream,187413.00,7617570
We Are The Chompians LLC (Chomps),We Are The Chompians LLC (Chomps),We Are The Chompians LLC (Chomps),We Are The Chompians LLC (Chomps),We Are The Chompians LLC (Chomps),thegamer.com,2025-09-01,Desktop Video,Consumer Packaged Goods,Other,368.62,74534
We Are The Chompians LLC (Chomps),We Are The Chompians LLC (Chomps),We Are The Chompians LLC (Chomps),We Are The Chompians LLC (Chomps),We Are The Chompians LLC (Chomps),solitaired.com,2025-09-01,Desktop Video,Consumer Packaged Goods,Other,280.19,56654
We Are The Chompians LLC (Chomps),We Are The Chompians LLC (Chomps),We Are The Chompians LLC (Chomps),We Are The Chompians LLC (Chomps),We Are The Chompians LLC (Chomps),wafflegame.net,2025-09-01,Desktop Video,Consumer Packaged Goods,Other,255.75,51712
"Mars, Incorporated",Mars Food,Kind Snacks,Kind Snacks,Kind Snacks,Amazon Prime Video,2025-09-01,OTT,Consumer Packaged Goods,In-Stream,777.84,22522
Blue Diamond Growers,Blue Diamond Growers,Blue Diamond Growers,Blue Diamond Growers,Blue Diamond Growers,Amazon Prime Video,2025-09-01,OTT,Consumer Packaged Goods,In-Stream,223.97,6485
We Are The Chompians LLC (Chomps),We Are The Chompians LLC (Chomps),We Are The Chompians LLC (Chomps),We Are The Chompians LLC (Chomps),We Are The Chompians LLC (Chomps),Amazon Prime Video,2025-09-01,OTT,Consumer Packaged Goods,In-Stream,187963.19,5442382
"Mars, Incorporated",Mars Food,Kind Snacks,Kind Snacks,Kind Snacks,Disney+,2025-09-01,OTT,Consumer Packaged Goods,In-Stream,276.54,6173
Blue Diamond Growers,Blue Diamond Growers,Blue Diamond Growers,Blue Diamond Growers,Blue Diamond Growers,Disney+,2025-09-01,OTT,Consumer Packaged Goods,In-Stream,1702.54,38005
We Are The Chompians LLC (Chomps),We Are The Chompians LLC (Chomps),We Are The Chompians LLC (Chomps),We Are The Chompians LLC (Chomps),We Are The Chompians LLC (Chomps),Disney+,2025-09-01,OTT,Consumer Packaged Goods,In-Stream,174839.61,3902720
