BUDGET,TV_ADS,AVOD_ADS,OUTDOOR_BILLBOARDS_AND_POSTERS,OUTDOOR_VIDEO_SCREEN_ADS,INTERNET_ADS,ONLINE_VIDEO_ADS,INTERNET_SEARCH,YOUTUBE_ADS,MUSIC_STREAMING_ADS,PODCAST_ADS,FACEBOOK_ADS,INSTAGRAM_ADS,SNAPCHAT_ADS,TIKTOK_ADS,PINTEREST_ADS,DIRECT_MAIL,Emails - subscribed,Search on retailer's website,In-store ads,PROMOTIONS_ON_RETAILER_WEBSITE,Affiliate / Ambassador,Reviews / recommendations - influencers,CHANNEL_MIX
0,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
1000000,0.141925055,0.225831623,0.108067178,0.096504562,0.323366669,0.334851028,0.200614740,0.360352528,0.223216876,0.097362152,0.307596899,0.256589997,0.193068202,0.254803619,0.131318339,0.246215869,0.121767484,0.202000913,0.052565070,0.132264504,0.063071037,0.047233156,0.318928658
2000000,0.247918213,0.346381423,0.178994798,0.158190824,0.463323844,0.431774027,0.245219327,0.472126136,0.324794623,0.106462236,0.418017295,0.350649082,0.266382245,0.328434125,0.207574109,0.255527583,0.187322048,0.239572822,0.108643719,0.180963959,0.064467290,0.052406426,0.529948679
3000000,0.326189347,0.409475902,0.229406923,0.202665400,0.531300032,0.476992871,0.262631865,0.521019626,0.380039298,0.110318111,0.468366454,0.398281078,0.304817370,0.362673462,0.254996648,0.259888719,0.213403215,0.254228347,0.155363101,0.205562813,0.065162548,0.054470387,0.646303007
4000000,0.386247256,0.447688196,0.267893281,0.237153958,0.569696787,0.503549836,0.272055588,0.548545151,0.414515517,0.112627444,0.497144279,0.427526495,0.329116170,0.382763531,0.288233987,0.262611531,0.227321994,0.262269634,0.193903092,0.220512916,0.065610521,0.055683304,0.718525373
5000000,0.433309041,0.473225892,0.298444848,0.265071423,0.593759309,0.521154404,0.278122979,0.566354023,0.438130380,0.114227181,0.515933328,0.447471727,0.346086482,0.396122019,0.312955132,0.264547165,0.236335191,0.267543454,0.226256050,0.230515174,0.065933225,0.056515334,0.767231431
6000000,0.470732017,0.491589100,0.323413049,0.288663897,0.610033228,0.533722256,0.282453594,0.578872478,0.455346674,0.115427707,0.529224422,0.462012608,0.358683971,0.405715135,0.332401404,0.266020774,0.242786194,0.271372459,0.253913290,0.237609409,0.066185935,0.057136442,0.802018710
7000000,0.500846181,0.505498024,0.344538521,0.308986308,0.621692222,0.543182669,0.285756522,0.588171212,0.468473865,0.116376572,0.539141914,0.473106566,0.368430562,0.412973454,0.348174312,0.267205087,0.247681279,0.274332171,0.277923043,0.242857369,0.066386906,0.057625403,0.827973177
8000000,0.525399841,0.516426558,0.362788097,0.326722345,0.630430432,0.550581331,0.288393445,0.595352787,0.478828136,0.117153011,0.546829611,0.481855105,0.376200178,0.418682018,0.361226009,0.268184380,0.251562930,0.276718057,0.298964591,0.246874812,0.066559378,0.058024804,0.848065484
9000000,0.545650822,0.525256115,0.378774714,0.342350114,0.637220549,0.556530489,0.290568233,0.601073511,0.487212203,0.117807244,0.552962427,0.488935403,0.382547994,0.423297895,0.372193396,0.269012408,0.254742678,0.278699249,0.317545564,0.250042680,0.066703221,0.058360585,0.864033441
10000000,0.562539396,0.532547539,0.392930127,0.356221687,0.642654633,0.561419056,0.292407193,0.605744779,0.494142177,0.118367720,0.557968548,0.494777649,0.387832413,0.427111862,0.381525947,0.269731842,0.257412905,0.280382816,0.334055503,0.252607170,0.066831161,0.058649062,0.877006119
11000000,0.576773136,0.538674287,0.405570812,0.368607391,0.647110862,0.565508145,0.293991588,0.609633808,0.499981084,0.118857782,0.562132161,0.499673744,0.392297717,0.430319759,0.389553232,0.270364905,0.259699025,0.281837552,0.348800030,0.254730702,0.066959092,0.058900396,0.887732914
12000000,0.588889794,0.543896249,0.416936089,0.379720971,0.650839740,0.568978090,0.295379103,0.612924654,0.504978812,0.119289947,0.565649113,0.503830530,0.396116638,0.433056583,0.396523470,0.270925093,0.261686981,0.283114977,0.362023732,0.256525524,0.067049419,0.059122274,0.896732278
13000000,0.599303601,0.548399372,0.427212250,0.389735504,0.654014716,0.571959776,0.296607069,0.615748821,0.509309629,0.119675467,0.568661093,0.507399519,0.399416943,0.435419629,0.402626724,0.271431006,0.263437831,0.284248833,0.373955848,0.258068759,0.067143284,0.059320558,0.904378488
14000000,0.608335850,0.552328997,0.436548080,0.398794268,0.656757376,0.574551538,0.297707053,0.618202594,0.513101795,0.120024573,0.571271171,0.510492437,0.402295864,0.437484573,0.408011620,0.271884979,0.264996557,0.285264316,0.384778986,0.259415666,0.067227592,0.059499659,0.910946647
15000000,0.616237446,0.555794335,0.445063695,0.407016798,0.659156460,0.576824272,0.298699907,0.620357446,0.516452500,0.120339999,0.573556883,0.513196825,0.404827304,0.439303568,0.412795594,0.272301369,0.266396362,0.286182175,0.394629985,0.260606767,0.067317712,0.059661818,0.916642930
16000000,0.623205526,0.558873826,0.452859311,0.414504268,0.661278347,0.578836707,0.299602038,0.622268773,0.519435909,0.120630444,0.575578232,0.515578242,0.407068567,0.440921387,0.417071739,0.272691178,0.267663517,0.287019710,0.403623505,0.261671021,0.067379014,0.059810851,0.921625930
17000000,0.629396006,0.561630024,0.460018096,0.421342804,0.663172966,0.580631203,0.300428673,0.623978507,0.522111123,0.120895521,0.577380394,0.517691588,0.409066599,0.442370550,0.420915568,0.273041939,0.268818230,0.287785247,0.411856899,0.262630480,0.067450608,0.059946696,0.926016443
18000000,0.634933695,0.564112304,0.466611570,0.427606717,0.664877464,0.582243123,0.301189847,0.625520487,0.524523861,0.121140874,0.579001228,0.519578869,0.410858524,0.443677858,0.424388328,0.273377995,0.269876585,0.288491919,0.419413502,0.263503370,0.067507454,0.060073423,0.929910852
19000000,0.639918208,0.566361454,0.472699778,0.433359501,0.666423674,0.583703052,0.301894889,0.626919803,0.526713250,0.121370894,0.580468093,0.521273339,0.412474569,0.444865315,0.427540429,0.273664159,0.270851374,0.289144716,0.426364957,0.264303381,0.067540442,0.060191177,0.933385864
20000000,0.644430633,0.568409109,0.478335393,0.438656615,0.667833730,0.585028425,0.302547690,0.628198916,0.528709359,0.121583487,0.581805225,0.522805515,0.413940471,0.445950496,0.430413041,0.273962359,0.271753949,0.289752725,0.432773772,0.265039462,0.067619997,0.060301153,0.936503005
