CHANNEL,Don't use on reg. day,LESS_THAN_AN_HOUR_A_DAY,1 to 3 hours a day,3 to 5 hours a day,MORE_THAN_5_HOURS_A_DAY
TV viewing,0.250067808,0.229606123,0.334944039,0.110768120,0.074613910
AVOD,0.178069848,0.277630899,0.336356984,0.120812158,0.087130111
BVOD,0.326678935,0.225359637,0.285099439,0.092909556,0.069952433
Radio listening,0.214591464,0.352068414,0.281786205,0.085662545,0.065891372
Newspapers,0.425520515,0.287199705,0.179351021,0.064298929,0.043629829
Magazines,0.407190379,0.303157498,0.182283410,0.061118656,0.046250058
Internet,0.013078993,0.090887415,0.271024208,0.220312830,0.404696554
Internet search,0.052576101,0.216939172,0.321893724,0.168021351,0.240569652
Facebook,0.154302599,0.237802103,0.278319736,0.142467808,0.187107754
