advertiser,brand,media_group,media,media_owner,dow,national_local,market,program,program_genre,daypart,property,flight_date,spend_usd,units
Chomps,Chomps,Television,Cable TV,Comcast Corp,Sunday,NATIONAL,TOTAL_US,FARMERS INSURANCE OPN-FN,SPORTS,Late Fringe,GOLF,2025-01-01,386.0,1.0
Chomps,Chomps,Television,Cable TV,Comcast Corp,Sunday,NATIONAL,TOTAL_US,FARMERS INSURANCE OPN-FN,SPORTS,Sunday Morning,GOLF,2025-01-01,212.0,1.0
Chomps,Chomps,Television,Cable TV,Comcast Corp,Sunday,NATIONAL,TOTAL_US,KORN FERRY TOUR GOLF,SPORTS,Weekend Afternoon,GOLF,2025-01-01,212.0,1.0
Chomps,Chomps,Television,Cable TV,Walt Disney Co,Saturday,NATIONAL,TOTAL_US,SPORTSCENTER,SPORTS,Saturday Morning,ESPN,2025-01-01,7579.0,3.0
Chomps,Chomps,Television,Cable TV,Walt Disney Co,Sunday,NATIONAL,TOTAL_US,COLLEGE WRESTLING,SPORTS,Early Fringe,ESPN,2025-01-01,2264.0,1.0
Chomps,Chomps,Television,Cable TV,Walt Disney Co,Sunday,NATIONAL,TOTAL_US,SPORTSCENTER,SPORTS,Sunday Morning,ESPN,2025-01-01,7579.0,3.0
Chomps,Chomps,Television,Cable TV,Warner Bros Discovery Inc,Monday,NATIONAL,TOTAL_US,FIXER TO FABULOUS,INFORMATIONAL,Early Morning,HGTV,2025-01-01,3348.0,3.0
Chomps,Chomps,Television,Cable TV,Warner Bros Discovery Inc,Tuesday,NATIONAL,TOTAL_US,GOOD BONES,ENTERTAINMENT,Early Morning,HGTV,2025-01-01,6694.0,4.0
Chomps,Chomps,Television,Cable TV,Warner Bros Discovery Inc,Wednesday,NATIONAL,TOTAL_US,CELEBRITY IOU,ENTERTAINMENT,Early Morning,HGTV,2025-01-01,2232.0,2.0
Chomps,Chomps,Television,Cable TV,Warner Bros Discovery Inc,Wednesday,NATIONAL,TOTAL_US,MEXICO LIFE,ENTERTAINMENT,Early Morning,HGTV,2025-01-01,5578.0,3.0
Chomps,Chomps,Television,Cable TV,Warner Bros Discovery Inc,Thursday,NATIONAL,TOTAL_US,HOME TOWN,ENTERTAINMENT,Early Morning,HGTV,2025-01-01,1116.0,1.0
Chomps,Chomps,Television,Cable TV,Warner Bros Discovery Inc,Thursday,NATIONAL,TOTAL_US,UNSELLABLE HOUSES,ENTERTAINMENT,Early Morning,HGTV,2025-01-01,5578.0,3.0
Chomps,Chomps,Television,Cable TV,Warner Bros Discovery Inc,Friday,NATIONAL,TOTAL_US,100 DAY DREAM HOME,ENTERTAINMENT,Early Morning,HGTV,2025-01-01,3347.0,2.0
Chomps,Chomps,Television,Cable TV,Warner Bros Discovery Inc,Friday,NATIONAL,TOTAL_US,AMERICAN MONSTER,ENTERTAINMENT,Early Fringe,ID,2025-01-01,863.0,1.0
Chomps,Chomps,Television,Cable TV,Warner Bros Discovery Inc,Saturday,NATIONAL,TOTAL_US,EXPEDITION BIGFOOT,ENTERTAINMENT,Saturday Morning,DISC,2025-01-01,917.0,1.0
Chomps,Chomps,Television,Cable TV,Warner Bros Discovery Inc,Saturday,NATIONAL,TOTAL_US,EXPEDITION UNKNOWN,ENTERTAINMENT,Early Fringe,DISC,2025-01-01,1436.0,1.0
Chomps,Chomps,Television,Cable TV,Warner Bros Discovery Inc,Sunday,NATIONAL,TOTAL_US,GOLD RUSH,ENTERTAINMENT,Sunday Morning,DISC,2025-01-01,1834.0,1.0
Chomps,Chomps,Television,Cable TV,A&E TV Networks Inc,Monday,NATIONAL,TOTAL_US,LIVE PD: POLICE PATROL,ENTERTAINMENT,Early Fringe,A&E,2025-02-01,1743.0,1.0
Chomps,Chomps,Television,Cable TV,A&E TV Networks Inc,Monday,NATIONAL,TOTAL_US,LIVE PD: POLICE PATROL,ENTERTAINMENT,Prime Access,A&E,2025-02-01,4412.0,2.0
Chomps,Chomps,Television,Cable TV,A&E TV Networks Inc,Tuesday,NATIONAL,TOTAL_US,GYPSY ROSE: LIFE AFTER L,ENTERTAINMENT,Late Fringe,LIFE,2025-02-01,713.0,1.0
Chomps,Chomps,Television,Cable TV,A&E TV Networks Inc,Tuesday,NATIONAL,TOTAL_US,GYPSY ROSE: LIFE AFTER L,ENTERTAINMENT,Overnight,LIFE,2025-02-01,427.0,1.0
Chomps,Chomps,Television,Cable TV,A&E TV Networks Inc,Tuesday,NATIONAL,TOTAL_US,MARRIED AT FIRST SIGHT,ENTERTAINMENT,Prime Time,LIFE,2025-02-01,4730.0,2.0
Chomps,Chomps,Television,Cable TV,A&E TV Networks Inc,Tuesday,NATIONAL,TOTAL_US,MARRIED AT FIRST SIGHT,ENTERTAINMENT,Late Fringe,LIFE,2025-02-01,1425.0,1.0
Chomps,Chomps,Television,Cable TV,A&E TV Networks Inc,Tuesday,NATIONAL,TOTAL_US,MARRIED AT FIRST SIGHT,ENTERTAINMENT,Overnight,LIFE,2025-02-01,1425.0,1.0
Chomps,Chomps,Television,Cable TV,A&E TV Networks Inc,Wednesday,NATIONAL,TOTAL_US,LIVE PD PRESENTS: PD CAM,ENTERTAINMENT,Prime Access,A&E,2025-02-01,1471.0,1.0
Chomps,Chomps,Television,Cable TV,A&E TV Networks Inc,Thursday,NATIONAL,TOTAL_US,ROOKIE SHOW,ENTERTAINMENT,Prime Time,LIFE,2025-02-01,6982.0,4.0
Chomps,Chomps,Television,Cable TV,A&E TV Networks Inc,Thursday,NATIONAL,TOTAL_US,ROOKIE SHOW,ENTERTAINMENT,Late News,LIFE,2025-02-01,716.0,1.0
Chomps,Chomps,Television,Cable TV,A&E TV Networks Inc,Thursday,NATIONAL,TOTAL_US,ROOKIE SHOW,ENTERTAINMENT,Late Fringe,LIFE,2025-02-01,1431.0,1.0
Chomps,Chomps,Television,Cable TV,A&E TV Networks Inc,Thursday,NATIONAL,TOTAL_US,ROOKIE SHOW,ENTERTAINMENT,Overnight,LIFE,2025-02-01,2951.0,4.0
Chomps,Chomps,Television,Cable TV,A&E TV Networks Inc,Friday,NATIONAL,TOTAL_US,FIRST 48,ENTERTAINMENT,Early News,A&E,2025-02-01,872.0,1.0
Chomps,Chomps,Television,Cable TV,A&E TV Networks Inc,Friday,NATIONAL,TOTAL_US,ROAD WARS,ENTERTAINMENT,Early Fringe,A&E,2025-02-01,1743.0,1.0
Chomps,Chomps,Television,Cable TV,A&E TV Networks Inc,Friday,NATIONAL,TOTAL_US,ROOKIE SHOW,ENTERTAINMENT,Prime Time,LIFE,2025-02-01,2327.0,1.0
Chomps,Chomps,Television,Cable TV,A&E TV Networks Inc,Friday,NATIONAL,TOTAL_US,ROOKIE SHOW,ENTERTAINMENT,Late Fringe,LIFE,2025-02-01,716.0,1.0
Chomps,Chomps,Television,Cable TV,A&E TV Networks Inc,Friday,NATIONAL,TOTAL_US,ROOKIE SHOW,ENTERTAINMENT,Overnight,LIFE,2025-02-01,1833.0,2.0
Chomps,Chomps,Television,Cable TV,A&E TV Networks Inc,Saturday,NATIONAL,TOTAL_US,KEYSHIA COLE: THIS IS MY,ENTERTAINMENT,Early Fringe,LIFE,2025-02-01,1920.0,1.0
Chomps,Chomps,Television,Cable TV,A&E TV Networks Inc,Saturday,NATIONAL,TOTAL_US,LISA LISA STORY,ENTERTAINMENT,Prime Access,LIFE,2025-02-01,2104.0,1.0
Chomps,Chomps,Television,Cable TV,A&E TV Networks Inc,Saturday,NATIONAL,TOTAL_US,MARY J. BLIGE'S FAMILY A,ENTERTAINMENT,Weekend Afternoon,LIFE,2025-02-01,960.0,1.0
Chomps,Chomps,Television,Cable TV,A&E TV Networks Inc,Saturday,NATIONAL,TOTAL_US,MY AMISH DOUBLE LIFE,ENTERTAINMENT,Prime Time,LIFE,2025-02-01,1013.0,1.0
Chomps,Chomps,Television,Cable TV,A&E TV Networks Inc,Saturday,NATIONAL,TOTAL_US,MY AMISH DOUBLE LIFE,ENTERTAINMENT,Late Fringe,LIFE,2025-02-01,303.0,1.0
Chomps,Chomps,Television,Cable TV,A&E TV Networks Inc,Saturday,NATIONAL,TOTAL_US,TONI BRAXTON: UNBREAK MY,ENTERTAINMENT,Weekend Afternoon,LIFE,2025-02-01,960.0,1.0
Chomps,Chomps,Television,Cable TV,A&E TV Networks Inc,Sunday,NATIONAL,TOTAL_US,BEAR LAKE MURDERS,ENTERTAINMENT,Prime Time,LIFE,2025-02-01,960.0,1.0
Chomps,Chomps,Television,Cable TV,A&E TV Networks Inc,Sunday,NATIONAL,TOTAL_US,DATE AT YOUR OWN RISK,ENTERTAINMENT,Prime Time,LIFE,2025-02-01,2327.0,1.0
Chomps,Chomps,Television,Cable TV,A&E TV Networks Inc,Sunday,NATIONAL,TOTAL_US,DATE AT YOUR OWN RISK,ENTERTAINMENT,Overnight,LIFE,2025-02-01,1431.0,1.0
Chomps,Chomps,Television,Cable TV,A&E TV Networks Inc,Sunday,NATIONAL,TOTAL_US,FACE I CAN'T FORGET,ENTERTAINMENT,Early Fringe,LIFE,2025-02-01,1920.0,1.0
Chomps,Chomps,Television,Cable TV,A&E TV Networks Inc,Sunday,NATIONAL,TOTAL_US,GIRL IN THE GARAGE,ENTERTAINMENT,Late Fringe,LIFE,2025-02-01,1210.0,2.0
Chomps,Chomps,Television,Cable TV,A&E TV Networks Inc,Sunday,NATIONAL,TOTAL_US,HIDDEN FIGURES,ENTERTAINMENT,Prime Time,LIFE,2025-02-01,2026.0,2.0
Chomps,Chomps,Television,Cable TV,A&E TV Networks Inc,Sunday,NATIONAL,TOTAL_US,HIDDEN FIGURES,ENTERTAINMENT,Overnight,LIFE,2025-02-01,606.0,2.0
Chomps,Chomps,Television,Cable TV,A&E TV Networks Inc,Sunday,NATIONAL,TOTAL_US,REGINA SMITH STORY,ENTERTAINMENT,Weekend Afternoon,LIFE,2025-02-01,213.0,1.0
Chomps,Chomps,Television,Cable TV,A&E TV Networks Inc,Sunday,NATIONAL,TOTAL_US,REGINA SMITH STORY,ENTERTAINMENT,Sunday Morning,LIFE,2025-02-01,426.0,1.0
Chomps,Chomps,Television,Cable TV,A&E TV Networks Inc,Sunday,NATIONAL,TOTAL_US,TWISTED NEIGHBOR,ENTERTAINMENT,Weekend Afternoon,LIFE,2025-02-01,960.0,1.0
Chomps,Chomps,Television,Cable TV,Comcast Corp,Monday,NATIONAL,TOTAL_US,SOUTHERN HOSPITALITY,ENTERTAINMENT,Late Fringe,BRAV,2025-02-01,7156.0,1.0
Chomps,Chomps,Television,Cable TV,Comcast Corp,Tuesday,NATIONAL,TOTAL_US,REAL HOUSEWIVES OF B,ENTERTAINMENT,Prime Access,BRAV,2025-02-01,7815.0,1.0
Chomps,Chomps,Television,Cable TV,Comcast Corp,Tuesday,NATIONAL,TOTAL_US,REAL HOUSEWIVES OF SALT,ENTERTAINMENT,Prime Time,BRAV,2025-02-01,7815.0,1.0
Chomps,Chomps,Television,Cable TV,Comcast Corp,Wednesday,NATIONAL,TOTAL_US,SUMMER HOUSE,ENTERTAINMENT,Late Fringe,BRAV,2025-02-01,7156.0,1.0
Chomps,Chomps,Television,Cable TV,Comcast Corp,Thursday,NATIONAL,TOTAL_US,SUMMER HOUSE,ENTERTAINMENT,Late Fringe,BRAV,2025-02-01,3578.0,1.0
Chomps,Chomps,Television,Cable TV,Comcast Corp,Friday,NATIONAL,TOTAL_US,DEVIL WEARS PRADA,ENTERTAINMENT,Prime Time,BRAV,2025-02-01,6233.0,1.0
Chomps,Chomps,Television,Cable TV,Comcast Corp,Friday,NATIONAL,TOTAL_US,FIFTH ELEMENT MOVIE,ENTERTAINMENT,Prime Time,BRAV,2025-02-01,3117.0,1.0
Chomps,Chomps,Television,Cable TV,Comcast Corp,Friday,NATIONAL,TOTAL_US,PITCH PERFECT,ENTERTAINMENT,Prime Time,BRAV,2025-02-01,2081.0,1.0
Chomps,Chomps,Television,Cable TV,Comcast Corp,Saturday,NATIONAL,TOTAL_US,DP WORLD TOUR GOLF,SPORTS,Early Fringe,GOLF,2025-02-01,1464.0,1.0
