advertiser,brand_root,brand_major,brand_minor,brand_leaf,publisher,date,channel,top_level_category,placement,spend_usd,impressions
"Chobani, Inc.",Chobani,Chobani,Chobani,Chobani,techradar.com (Future Publishing),2025-07-01,Desktop Display,Consumer Packaged Goods,Other,29.6,11647
"Chobani, Inc.",Chobani,Chobani,Chobani,Chobani,thespruce.com,2025-07-01,Desktop Display,Consumer Packaged Goods,Other,216.11,69456
"Chobani, Inc.",Chobani,Chobani,Chobani,Chobani,tasty.co,2025-07-01,Desktop Display,Consumer Packaged Goods,Other,80.87,25986
Country Archer Jerky Co.,Country Archer Jerky Co.,Country Archer Jerky Co.,Country Archer Jerky Co.,Country Archer Jerky Co.,Facebook,2025-07-01,Facebook,Consumer Packaged Goods,Feed,535.67,75679
"Links Snacks, Inc.",Jack Link's,Jack Link's,Jack Link's,Jack Link's,Facebook,2025-07-01,Facebook,Consumer Packaged Goods,Other,532.77,75270
"Links Snacks, Inc.",Jack Link's,Jack Link's,Jack Link's,Jack Link's,Facebook,2025-07-01,Facebook,Consumer Packaged Goods,Reels,178267.67,25185597
"Links Snacks, Inc.",Jack Link's,Jack Link's,Jack Link's,Jack Link's,Facebook,2025-07-01,Facebook,Consumer Packaged Goods,Marketplace,2213.68,312749
"Links Snacks, Inc.",Jack Link's,Jack Link's,Jack Link's,Jack Link's,Facebook,2025-07-01,Facebook,Consumer Packaged Goods,Feed,339764.26,48001791
"Links Snacks, Inc.",Jack Link's,Jack Link's,Jack Link's,Jack Link's,Facebook,2025-07-01,Facebook,Consumer Packaged Goods,Stories,87701.6,12390460
"Links Snacks, Inc.",Jack Link's,Jack Link's,Jack Link's,Jack Link's,YouTube,2025-07-01,YouTube,Consumer Packaged Goods,Feed,83.84,56809
"Links Snacks, Inc.",Jack Link's,Jack Link's,Jack Link's,Jack Link's,YouTube,2025-07-01,YouTube,Consumer Packaged Goods,In-Stream,5290.11,269736
"Links Snacks, Inc.",Jack Link's,Jack Link's,Jack Link's,Jack Link's,Instagram,2025-07-01,Instagram,Consumer Packaged Goods,Reels,349204.56,42469923
"Links Snacks, Inc.",Jack Link's,Jack Link's,Jack Link's,Jack Link's,Instagram,2025-07-01,Instagram,Consumer Packaged Goods,Stories,19796.94,2407686
"Links Snacks, Inc.",Jack Link's,Jack Link's,Jack Link's,Jack Link's,Instagram,2025-07-01,Instagram,Consumer Packaged Goods,Feed,71488.26,8694337
"Links Snacks, Inc.",Jack Link's,Jack Link's,Jack Link's,Jack Link's,dallascowboys.com,2025-07-01,Mobile Display,Consumer Packaged Goods,Other,113.01,13653
"Links Snacks, Inc.",Jack Link's,Jack Link's,Jack Link's,Jack Link's,dallascowboys.com,2025-07-01,Desktop Display,Consumer Packaged Goods,Other,324.23,23719
"Mars, Incorporated",Mars Food,Kind Snacks,Kind Snacks,Kind Snacks,YouTube,2025-07-01,YouTube,Consumer Packaged Goods,In-Stream,364.66,16555
"Mars, Incorporated",Mars Food,Kind Snacks,Kind Snacks,Kind Snacks,YouTube,2025-07-01,Desktop Display,Consumer Packaged Goods,Other,45.2,4782
"Mars, Incorporated",Mars Food,Kind Snacks,Kind Snacks,Kind Snacks,Hulu,2025-07-01,OTT,Consumer Packaged Goods,In-Stream,4182.04,129531
"Mars, Incorporated",Mars Food,Kind Snacks,Kind Snacks,Kind Snacks,Instagram,2025-07-01,Instagram,Consumer Packaged Goods,Stories,553.39,67301
"Mars, Incorporated",Mars Food,Kind Snacks,Kind Snacks,Kind Snacks,Instagram,2025-07-01,Instagram,Consumer Packaged Goods,Reels,328.21,39916
"Mars, Incorporated",Mars Food,Kind Snacks,Kind Snacks,Kind Snacks,Instagram,2025-07-01,Instagram,Consumer Packaged Goods,Feed,1102.05,134032
